average(station_latitude),average(station_longitude)
40.8184,-116.3703604952
36.71651,-112.8893454193
39.6117,-157.7264639335
20.50321035,-155.2654514474
59.4892389678,-143.7469628706
65.3970407,-144.1186804277
65.7534235,-146.7794235555
65.3837474,-144.1766945293
41.4546,-80.7110202365
48.63197557,-118.9547674859
41.3118,-110.3532792429
54.2428389678,-167.8091628706
43.25364838,-123.4808626573
41.11285,-73.977405027
51.9130389678,-179.4380628706
32.8052333,-112.2696361257
47.42176414,-125.980663763
64.6314389678,-138.7347628706
47.7936767,-115.4791885064
42.0120667,-103.5723933393
45.9249272,-112.0842155358
58.6262389678,-135.7840628706
43.839587,-124.6412635116
39.6557,-101.1881330871
65.9761389678,-153.5623628706
45.5002103,-112.7748508141
38.79150927,-128.6561082084
38.4653,49.2702525247
47.5543207,-107.1214611518
47.18465764,-124.2359581945
37.9418,-93.7890860113
42.92378099,-123.1721680736
47.183006,-110.5015219992
39.5522,-105.4776608867
37.2947667,-129.5236716295
42.23421143,-124.1918744193
47.3526598,-109.0453191555
54.5792389678,-163.6856628706
38.6437318,-123.7675296357
38.643368,-125.7578785048
47.16094188,-124.2442083262
33.6046,-126.5550658118
42.6624,-121.4420698542
42.1155,-115.685541677
42.79036197,-122.9739704728
49.88740493,-124.0982745903
41.2402,-118.1257309521
43.492,-71.7033930251
36.1110957,-123.5284522581
21.37241576,-157.7743304263
41.9138,-130.5707606062
34.44169,-114.9781448898
46.99047774,-124.4195782961
20.61299134,-155.4588025592
61.6387362,-139.1675987781
46.3634607,-114.1984048944
48.0942567,-117.3991539112
37.4615,-110.0614201091
39.19,-114.355723445
38.3515,-145.8737505269
38.334,-252.4183361442
33.5105,-110.4438235894
33.4578667,-110.9609219179
39.9703,-125.7751136089
38.6432983,-124.8194476637
41.695,-124.8535836392
49.510287,-104.5728729693
32.96923261,-80.2615553545
40.4444343,-128.4723032592
37.3853667,-130.602028983
61.2268389678,-155.8997628706
36.6253,-111.7460393434
42.7315,-121.5642992936
49.36430385,-120.1921083785
40.0271,-118.7062820783
54.9407389678,-164.2854628706
43.8099333,-73.8947486734
39.6347,-202.680807328
50.04027016,-125.7494675657
42.4107,-95.560804731
20.46376089,-156.2400329616
38.4095,-102.4644674362
41.1549667,-73.7139509267
32.8066,-113.2376350356
42.255,-110.4957504176
33.5969,-121.6199320444
47.0117428,-111.4261621935
47.5107894,-114.0347315958
43.3066333,-78.9325435164
42.936,-121.8971755378
39.588,-135.7791815326
42.6242,-122.8745819263
46.9459845,-111.3647215517
44.7833333,-121.3684587047
34.0404,-101.029263017
37.4408,-131.2393774442
52.4470389678,-179.0659628706
50.4557389678,-177.3258628706
65.9033389678,-141.0483628706
22.16035656,-156.609999174
18.89385271,-72.5690213321
36.94994729,-111.6762132305
66.8008389678,-148.3429628706
66.7914389678,-148.4633628706
20.60424513,-151.8466555546
43.22955391,-126.7619437878
54.2438389678,-163.8358628706
44.85073261,-117.2348388251
54.088549,-176.755151026
19.90885223,-78.5765500969
20.91537449,-148.8876268296
45.1218667,-76.1692164899
20.08688207,-80.0670596074
65.8176389678,-154.5174628706
38.8593957,-81.5301444085
69.1586389678,-144.7196628706
70.765965,-143.1745948094
20.13762828,-74.6887073174
68.0799389678,-149.6363628706
68.0550389678,-149.6435628706
48.26520614,-117.4419750355
36.5476,-80.8229792507
36.5440924,-81.5506277341
62.4600389678,-155.9630628706
65.9054389678,-154.1541628706
59.5405389678,-144.0715628706
52.4329138,-183.2086246099
44.8991237,-114.1434964843
38.14886041,-130.2130400471
66.2469389678,-141.7851628706
51.7860389678,-171.1460628706
18.19027774,-63.128421704
40.5061,-104.6395536689
49.862677,-94.27935667
48.4772272,-119.0552203762
18.91111396,-77.7991320471
54.5606389678,-160.8225628706
58.7489389678,-140.9486628706
32.3753,-103.4040148738
18.83988688,-71.749406511
69.2730389678,-144.5111628706
65.6088389678,-146.8137628706
56.3716389678,-155.9995628706
53.4374389678,-162.0876754684
18.49301865,-62.4118218402
65.9605389678,-152.6429522074
49.93523863,-121.9098978133
61.274523,-174.4986295469
56.2981389678,-160.6512628706
41.4410033,-73.8935671379
57.6140389678,-152.0756628706
49.91872178,-121.7164709736
50.3283389678,-176.2189628706
50.66010987,-121.0405296121
52.9965389678,-162.7778628706
54.2002389678,-163.8412628706
52.0795389678,-166.3223628706
34.2162389678,-97.6273054297
68.8560389678,-146.8628628706
19.47865319,-75.179611668
56.1748389678,-155.8974628706
61.3295389678,-154.1788628706
40.5576,-104.9564902081
33.631,-111.9633491866
52.6951389678,-164.9091628706
32.1759,-117.5338817649
22.04412395,-156.4638046893
58.6206389678,-156.3038628706
58.9137389678,-134.0483628706
42.76743105,-118.1219056915
52.0951756,184.1579999623
52.90934,170.5884211536
46.9637777,-111.4986008774
54.5525389678,-161.8198628706
42.7777142,-118.1270505121
41.3932,-114.4351178656
42.07326149,-125.9327852522
50.3162389678,178.6571371294
50.6565389678,179.2698371294
50.2285389678,-178.5812628706
57.4313389678,-136.1063628706
51.1040389678,178.7268371294
42.49245331,-109.0787487041
51.1896389678,178.3890371294
62.6388389678,-145.7045628706
67.2017389678,-148.0707628706
50.8018389678,-174.4218628706
59.3367389678,-140.3030628706
59.9133389678,-148.2243628706
38.0978389678,-78.0616628706
54.3414389678,-162.6707628706
51.8517389678,-168.0928628706
19.85279856,-80.8874353692
36.900987,-129.9138849759
20.50199627,-83.3012931844
52.1649389678,-179.3465628706
56.0636389678,-161.2333628706
35.1542473,-85.1761774415
18.84286378,-59.8768773947
