"lat","long","mag","place","url"
9.1824,126.4258,4.7,"27km ENE of Tandag, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ravp"
20.0799,121.4929,4.5,"48km SW of Sabtang, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rb24"
4.5309,96.547,4.6,"63km NE of Meulaboh, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rb8l"
34.2229,89.115,4.5,"282km NNW of Pubu, China","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rbw7"
36.6091,70.926,4.3,"29km SSE of Jarm, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rbyq"
9.6767,126.5645,4.7,"46km ESE of General Luna, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rbyx"
23.9425,122.3496,4.2,"75km E of Hualian, Taiwan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc07"
-5.9732,129.0089,4.2,"266km SSE of Amahusu, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc34"
10.4139,125.6096,4.5,"6km NE of Loreto, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rc8l"
-9.4914,112.9375,4.3,"south of Java, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rccq"
28.793,51.3714,4.2,"54km SSE of Borazjan, Iran","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcdi"
23.3067,94.1108,4.4,"47km SW of Mawlaik, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcms"
13.3376,120.2885,4.7,"20km WSW of Paluan, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcnu"
9.469,126.1885,4.7,"20km N of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcp7"
19.1492,121.0688,4.2,"59km N of Claveria, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcpb"
36.4572,70.6698,4.3,"47km SSW of Jarm, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcq1"
19.5646,96.1956,4.6,"18km S of Pyinmana, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcpy"
28.3951,142.5109,4.8,"148km N of Chichi-shima, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcru"
36.5889,36.0745,4.5,"8km W of Iskenderun, Turkey","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rctx"
44.6997,80.7336,4.8,"83km NE of Zharkent, Kazakhstan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rcvr"
10.1748,122.0638,4.9,"29km SSE of Magdalena, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rd4u"
9.8025,125.854,4.9,"14km WSW of Del Carmen, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rd7r"
-8.1095,104.833,4.7,"168km SSW of Cicadas, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rd9h"
2.7102,128.4759,4.4,"120km NNE of Tobelo, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rdlg"
-2.8186,129.9645,4.2,"129km ENE of Amahai, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rdq4"
3.8846,128.127,4.6,"238km N of Tobelo, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rduu"
23.2892,94.2651,4.2,"41km SSW of Mawlaik, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rdzi"
38.5251,43.1973,4.4,"12km NNW of Sarmansuyu, Turkey","http://earthquake.usgs.gov/earthquakes/eventpage/usc000re10"
35.4411,141.5288,4.5,"70km ESE of Hasaki, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rejw"
1.7824,126.4372,4.5,"144km ENE of Bitung, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000reuw"
23.7126,121.5634,4.3,"29km S of Hualian, Taiwan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfma"
-0.6435,121.8899,4.6,"105km WNW of Luwuk, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfnp"
2.6634,126.7223,4.4,"176km NW of Tobelo, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfnb"
-8.4526,113.0465,4.5,"17km SE of Tegalrejo, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfq4"
-2.3269,100.6474,4.8,"86km WSW of Sungaipenuh, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfrm"
-6.1132,130.1776,4.8,"238km NNW of Saumlaki, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rfsb"
2.6619,96.4595,4.8,"21km NNE of Sinabang, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rggu"
28.248,51.7228,4.2,"106km SW of Firuzabad, Iran","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rglx"
