"lat","long","mag","place","url"
64.6244,-17.6635,4.5,"119km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s7ih"
47.0589,151.9662,4.8,"Kuril Islands","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8ct"
50.449,90.0967,4.3,"30km WNW of Mugur-Aksy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8e1"
64.6494,-17.5174,4.7,"118km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8hy"
64.5643,-17.8165,4.9,"125km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8ng"
64.7171,-17.1226,4.5,"105km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8wn"
64.5494,-17.4004,4.5,"110km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s8x0"
64.5893,-17.7535,4.6,"123km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s95r"
50.29,156.2213,4.9,"43km S of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000s9ze"
55.9023,114.0335,4.6,"46km SE of Severomuysk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s95c"
64.5704,-17.5498,4.3,"118km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s9bx"
46.3733,150.255,4.2,"223km NE of Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s9c1"
37.6799,19.9361,4.6,"72km SW of Lixourion, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sa4x"
44.0983,10.7808,4.3,"2km E of Cutigliano, Italy","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sa55"
55.063,165.6223,4.6,"27km WSW of Nikol'skoye, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sa9f"
64.6771,-17.8075,4.4,"112km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sa9k"
64.5077,-17.71,4.6,"124km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sa9q"
64.6911,-17.6125,4.7,"112km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sacd"
64.6852,-17.0567,4.9,"101km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sayy"
45.6066,26.526,4.7,"14km NNW of Lopatari, Romania","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sb63"
34.5791,23.3235,4.4,"79km SSW of Palaiochora, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sbza"
64.6083,-17.6589,4.6,"121km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sc0e"
34.0458,25.0656,4.2,"106km S of Pirgos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sc8j"
64.577,-17.6187,4.6,"121km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000scae"
61.5354,14.3896,4.7,"39km NNE of AElvdalen, Sweden","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sci4"
64.5377,-17.9117,4.7,"128km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sczi"
40.8232,21.2951,4.6,"10km WNW of Florina, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sdg1"
64.5235,-17.8576,4.6,"129km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sdl8"
-21.4488,168.9008,4.9,"106km E of Tadine, New Caledonia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sds8"
43.8535,146.3106,4.8,"33km W of Shikotan, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sdvm"
38.3228,21.7727,4.5,"2km NNW of Rion, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000se89"
64.6203,-17.153,4.8,"102km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000seif"
64.7107,-17.4766,4.4,"112km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sem4"
38.3548,21.9762,4.3,"6km NNW of Kamarai, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sem6"
34.1691,25.0657,4.1,"92km S of Pirgos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000semj"
64.5974,-17.8009,4.3,"121km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sepa"
-15.4561,-178.5532,4.5,"134km SSW of Sigave, Wallis and Futuna","http://earthquake.usgs.gov/earthquakes/eventpage/usb000serk"
12.9051,-70.083,4.6,"31km N of Arasji, Aruba","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sew7"
64.5821,-17.895,4.6,"123km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sexe"
64.7215,-17.4916,4.6,"110km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sf8l"
52.8479,158.9068,4.9,"28km SE of Petropavlovsk-Kamchatskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sffk"
64.6532,-17.4312,4.9,"115km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sfh6"
64.65,-17.6518,4.9,"117km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sfqz"
64.527,-17.3936,4.8,"109km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sfsh"
64.6038,-17.4272,4.7,"113km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sfyc"
34.2368,25.1145,4.4,"84km S of Pirgos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sg7h"
64.5239,-17.3133,4.9,"105km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sgfk"
34.2202,24.9988,4.4,"87km S of Pirgos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sghy"
